,PropertyUrl,ID,Street,HouseNumber,Box,Floor,City,PostalCode,Region,District,Province,PropertyType,PropertySubType,Price,SaleType,ConstructionYear,BedroomCount,LivingArea,KitchenType,Furnished,Fireplace,Terrace,TerraceArea,Garden,GardenArea,Facades,SwimmingPool,Condition,EPCScore,Latitude,Longitude
153,,11153883,Kloosterstraat,67A,,,Zottegem,9620,FLANDERS,Aalst,East Flanders,HOUSE,HOUSE,546400,residential_sale,2024.0,3,194,USA_HYPER_EQUIPPED,False,False,True,22.0,True,285.0,3.0,False,AS_NEW,A,50.8511891,3.8196985
154,,11153886,Kloosterstraat,67A,,,Zottegem,9620,FLANDERS,Aalst,East Flanders,HOUSE,HOUSE,485820,residential_sale,2024.0,4,188,USA_HYPER_EQUIPPED,False,False,True,22.0,True,299.0,3.0,False,AS_NEW,A,50.8511891,3.8196985
155,,10858077,Rue Colson,54,,,Seraing,4100,WALLONIE,Liège,Liège,HOUSE,HOUSE,89000,residential_sale,1954.0,1,54,SEMI_EQUIPPED,False,False,True,18.0,,40.0,2.0,False,GOOD,F,50.6022441,5.5126552
156,,11009333,Rue Grande Commune,4,,,Seraing,4102,WALLONIE,Liège,Liège,HOUSE,HOUSE,109500,residential_sale,1919.0,2,105,NOT_INSTALLED,False,False,,,,46.0,2.0,False,TO_RENOVATE,E,50.5982013,5.5337619
157,,10968806,Rue Jean Ramey,14,,,Liège,4000,WALLONIE,Liège,Liège,HOUSE,HOUSE,87000,residential_sale,1930.0,2,86,NOT_INSTALLED,False,False,True,23.0,,70.0,2.0,False,TO_RENOVATE,F,50.6407098,5.5457097
158,,11151580,Située à Lillois,.,,,Lillois-Witterzée,1428,WALLONIE,Nivelles,Walloon Brabant,HOUSE,VILLA,1995000,residential_sale,1992.0,6,565,HYPER_EQUIPPED,False,True,True,,True,6444.0,4.0,True,AS_NEW,D,50.6449558,4.3648141
159,,11137880,Henriette Chaumatstraat,15,,,Deinze,9800,FLANDERS,Gent,East Flanders,HOUSE,VILLA,439000,residential_sale,2024.0,3,132,USA_HYPER_EQUIPPED,False,False,True,,,270.0,3.0,False,AS_NEW,,50.9817916,3.5747884
160,,11151436,Située à Lillois,.,,,Braine-l'Alleud,1420,WALLONIE,Nivelles,Walloon Brabant,HOUSE,VILLA,1995000,residential_sale,1992.0,6,565,HYPER_EQUIPPED,False,True,True,,True,6444.0,4.0,True,AS_NEW,D,50.6455864,4.3617107
161,,11153841,Kouterhoek,1,,,Nazareth,9810,FLANDERS,Gent,East Flanders,HOUSE,HOUSE,439012,residential_sale,2023.0,4,169,INSTALLED,False,False,,,,517.0,3.0,False,AS_NEW,,50.9562774,3.6345935
162,,11137881,Henriette Chaumatstraat,17,,,Deinze,9800,FLANDERS,Gent,East Flanders,HOUSE,VILLA,439000,residential_sale,2024.0,3,132,USA_HYPER_EQUIPPED,False,False,True,,,270.0,3.0,False,AS_NEW,,50.9818516,3.5749225
163,,11153888,Kloosterstraat,67A,,,Zottegem,9620,FLANDERS,Aalst,East Flanders,HOUSE,HOUSE,445200,residential_sale,2024.0,3,196,USA_HYPER_EQUIPPED,False,False,True,22.0,True,220.0,3.0,False,AS_NEW,A,50.8511891,3.8196985
164,,11153884,Kloosterstraat,67A,,,Zottegem,9620,FLANDERS,Aalst,East Flanders,HOUSE,HOUSE,471800,residential_sale,2024.0,3,209,USA_HYPER_EQUIPPED,False,False,True,19.0,True,241.0,3.0,False,AS_NEW,A,50.8511891,3.8196985
165,,11153890,Kloosterstraat,67A,,,Zottegem,9620,FLANDERS,Aalst,East Flanders,HOUSE,HOUSE,440020,residential_sale,2024.0,3,187,USA_HYPER_EQUIPPED,False,False,True,19.0,True,250.0,3.0,False,AS_NEW,A,50.8511891,3.8196985
166,,11153345,Gijzenzelestraat,42 - 48,,,Wetteren,9230,FLANDERS,Dendermonde,East Flanders,HOUSE,HOUSE,376032,residential_sale,2023.0,3,126,INSTALLED,False,False,True,13.0,True,142.0,2.0,False,AS_NEW,,50.978693,3.8389673
167,,11153891,Kloosterstraat,67A,,,Zottegem,9620,FLANDERS,Aalst,East Flanders,HOUSE,HOUSE,425680,residential_sale,2024.0,3,177,USA_HYPER_EQUIPPED,False,False,True,21.0,True,226.0,3.0,False,AS_NEW,A,50.8511891,3.8196985
168,,11153219,Rue Ann-Sophie Charlier,37,/M42,,Herve,4650,WALLONIE,Verviers,Liège,HOUSE,HOUSE,325000,residential_sale,2023.0,3,147,,,False,True,20.0,,696.0,3.0,False,AS_NEW,A,50.6359711,5.7924066
169,,10707752,Rue de l'Aviation,5,,,Seraing,4100,WALLONIE,Liège,Liège,HOUSE,HOUSE,119000,residential_sale,1931.0,2,60,SEMI_EQUIPPED,False,False,True,,True,123.0,2.0,False,GOOD,D,50.5907459,5.5033569
170,,10459282,Rue de la Baume,191,,,Seraing,4100,WALLONIE,Liège,Liège,HOUSE,HOUSE,179000,residential_sale,1930.0,3,82,INSTALLED,False,False,True,13.0,True,128.0,2.0,False,JUST_RENOVATED,C,50.6015901,5.5108005
171,,10833916,Rue des Trois Pierres,35,,,Herstal,4040,WALLONIE,Liège,Liège,HOUSE,HOUSE,164000,residential_sale,1899.0,4,167,INSTALLED,False,False,True,80.0,,90.0,3.0,False,TO_BE_DONE_UP,E,50.6586095,5.6238621
172,,11109640,Rue du Val Benoît,58,,,Angleur,4031,WALLONIE,Liège,Liège,HOUSE,HOUSE,185000,residential_sale,1900.0,3,150,NOT_INSTALLED,False,True,True,8.0,,115.0,2.0,False,TO_RENOVATE,G,50.613431,5.5953632
173,,11035014,Ruelle des Chats,26,,,Liège,4000,WALLONIE,Liège,Liège,HOUSE,HOUSE,169000,residential_sale,1936.0,2,97,INSTALLED,False,False,True,5.0,True,167.0,2.0,False,TO_BE_DONE_UP,E,50.654257,5.5555017
