ID,Street,HouseNumber,Box,Floor,City,PostalCode,Region,District,Province,PropertyType,PropertySubType,Price,SaleType,ConstructionYear,BedroomCount,LivingArea,KitchenType,Furnished,Fireplace,Terrace,TerraceArea,Garden,GardenArea,Facades,SwimmingPool,Condition,EPCScore,Latitude,Longitude,PropertyUrl
11150988,Avenue Gabriel Emile Lebon,161,,2,Woluwe-Saint-Pierre,1150,BRUSSELS,Brussels,Brussels,APARTMENT,APARTMENT,320000,residential_sale,,1,81,INSTALLED,0,0,1,3,,,,0,TO_BE_DONE_UP,F,50.8269593,4.4057701,https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-pierre/1150/11150988
11150932,Avenue George Bergmann,76,,0,Ixelles,1050,BRUSSELS,Brussels,Brussels,APARTMENT,APARTMENT,315000,residential_sale,1950,1,88,NOT_INSTALLED,0,0,1,5,1,,2,0,TO_BE_DONE_UP,E,50.8084836,4.3904443,https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/11150932
11149007,Sleidinge-Dorp,33-41,,2,Evergem,9940,FLANDERS,Gent,East Flanders,APARTMENT,PENTHOUSE,445000,residential_sale,2025,2,122,HYPER_EQUIPPED,0,0,1,48,,,2,0,AS_NEW,,51.1327884,3.6790739,https://www.immoweb.be/en/classified/penthouse/for-sale/evergem/9940/11149007
11149063,Sleidinge-Dorp,33-41,,3,Sleidinge,9940,FLANDERS,Gent,East Flanders,APARTMENT,PENTHOUSE,445000,residential_sale,2025,2,122,HYPER_EQUIPPED,0,0,1,48,,,2,0,AS_NEW,,51.1327884,3.6790739,https://www.immoweb.be/en/classified/penthouse/for-sale/sleidinge/9940/11149063
11149009,Sleidinge-Dorp,33-41,,2,Evergem,9940,FLANDERS,Gent,East Flanders,APARTMENT,APARTMENT,380000,residential_sale,2025,2,107,HYPER_EQUIPPED,0,0,1,16,,,2,0,AS_NEW,,51.1327884,3.6790739,https://www.immoweb.be/en/classified/apartment/for-sale/evergem/9940/11149009
11149056,Sleidinge-Dorp,33-41,,2,Sleidinge,9940,FLANDERS,Gent,East Flanders,APARTMENT,APARTMENT,380000,residential_sale,2025,2,107,HYPER_EQUIPPED,0,0,1,16,,,2,0,AS_NEW,,51.1327884,3.6790739,https://www.immoweb.be/en/classified/apartment/for-sale/sleidinge/9940/11149056
11149010,Sleidinge-Dorp,33-41,,1,Evergem,9940,FLANDERS,Gent,East Flanders,APARTMENT,APARTMENT,375000,residential_sale,2025,2,113,HYPER_EQUIPPED,0,0,1,9,,,2,0,AS_NEW,,51.1327884,3.6790739,https://www.immoweb.be/en/classified/apartment/for-sale/evergem/9940/11149010
11149052,Sleidinge-Dorp,33-41,,1,Sleidinge,9940,FLANDERS,Gent,East Flanders,APARTMENT,APARTMENT,375000,residential_sale,2025,2,113,HYPER_EQUIPPED,0,0,1,9,,,2,0,AS_NEW,,51.1327884,3.6790739,https://www.immoweb.be/en/classified/apartment/for-sale/sleidinge/9940/11149052
11148957,Drapstraat,22,,1,Nazareth,9810,FLANDERS,Gent,East Flanders,APARTMENT,APARTMENT,366000,residential_sale,2023,2,82,USA_HYPER_EQUIPPED,0,0,1,13,,,2,0,AS_NEW,,50.95972,3.6011273,https://www.immoweb.be/en/classified/apartment/for-sale/nazareth/9810/11148957
11149008,Sleidinge-Dorp,33-41,,2,Evergem,9940,FLANDERS,Gent,East Flanders,APARTMENT,APARTMENT,300000,residential_sale,2025,1,75,HYPER_EQUIPPED,0,0,1,17,,,2,0,AS_NEW,,51.1327884,3.6790739,https://www.immoweb.be/en/classified/apartment/for-sale/evergem/9940/11149008
