ID;Street;HouseNumber;Box;Floor;City;PostalCode;Region;District;Province;PropertyType;PropertySubType;Price;SaleType;ConstructionYear;BedroomCount;LivingArea;KitchenType;Furnished;Fireplace;Terrace;TerraceArea;Garden;GardenArea;Facades;SwimmingPool;Condition;EPCScore;Latitude;Longitude;PropertyUrl;Property url
11143714;Rue Fond de Vaux;3;;;Villers-le-Bouillet;4530;WALLONIE;Huy;Liège;HOUSE;COUNTRY_COTTAGE;180000;residential_sale;1850;3;175;SEMI_EQUIPPED;FALSE;FALSE;;;;1200;4;FALSE;TO_RENOVATE;F;506.101.159;52.197.889;;https://www.immoweb.be/en/classified/country-cottage/for-sale/villers-le-bouillet/4530/11143714
11143240;Tolpoortstraat;40;;;Deinze;9800;FLANDERS;Gent;East Flanders;APARTMENT_GROUP;APARTMENT_GROUP;;group_sale;;;;;;FALSE;;;;;;;;;509.823.065;35.305.868;;https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/deinze/9800/11143240
11141932;Rue des Blancs Prés;1;;;Arlon;6700;WALLONIE;Arlon;Luxembourg;APARTMENT_GROUP;APARTMENT_GROUP;;group_sale;;;;;;FALSE;;;;;;;;;496.923.475;58.072.139;;https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/arlon/6700/11141932
11144624;;;;;Ronse;9600;FLANDERS;Oudenaarde;East Flanders;HOUSE_GROUP;HOUSE_GROUP;;group_sale;;;;;;FALSE;;;;;;;;;;;;https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/ronse/9600/11144624
11143532;Kasteelloop;20-28;;;Turnhout;2300;FLANDERS;Turnhout;Antwerp;APARTMENT_GROUP;APARTMENT_GROUP;;group_sale;;;;;;FALSE;;;;;;;;;513.168.203;49.434.178;;https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/turnhout/2300/11143532
11143793;Rue de Genève;7;;3;Evere;1140;BRUSSELS;Brussels;Brussels;APARTMENT;APARTMENT;240000;residential_sale;2013;1;45;USA_HYPER_EQUIPPED;TRUE;FALSE;TRUE;;;;2;FALSE;AS_NEW;B;508.639.409;44.034.631;;https://www.immoweb.be/en/classified/apartment/for-sale/evere/1140/11143793
11141245;Rue de la Petite Ile;20;;;Anderlecht;1070;BRUSSELS;Brussels;Brussels;APARTMENT_GROUP;APARTMENT_GROUP;;group_sale;;;;;;FALSE;;;;;;;;A;50.831.669;43.153.713;;https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/anderlecht/1070/11141245
11141650;Avenue du Cimetière de Bruxelles;125;;;Evere;1140;BRUSSELS;Brussels;Brussels;APARTMENT_GROUP;APARTMENT_GROUP;;group_sale;;;;;;FALSE;;;;;;;;A;508.629.704;44.163.776;;https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/evere/1140/11141650
11143236;Tolpoortstraat;41;;;Deinze;9800;FLANDERS;Gent;East Flanders;APARTMENT_GROUP;APARTMENT_GROUP;;group_sale;;;;;;FALSE;;;;;;;;;509.813.272;35.292.559;;https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/deinze/9800/11143236
11141321;Boulevard du Triomphe;201;;;Auderghem;1160;BRUSSELS;Brussels;Brussels;APARTMENT_GROUP;APARTMENT_GROUP;;group_sale;;;;;;FALSE;;;;;;;;A;508.163.956;43.989.398;;https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/auderghem/1160/11141321
